tourney_year_id,tourney_order,tourney_name,tourney_slug,tourney_url_suffix,first_tourney_date,first_tourney_date_year,first_tourney_date_month,first_tourney_date_day,last_tourney_date,last_tourney_date_year,last_tourney_date_month,last_tourney_date_day,tourney_fin_commit,tourney_year,tourney_round_name,round_order,match_order,winner_seed,winner_nationality,winner_name,winner_player_id,winner_slug,loser_seed,loser_nationality,loser_name,loser_player_id,loser_slug,match_score_tiebreaks,winner_sets_won,loser_sets_won,winner_games_won,loser_games_won,winner_tiebreaks_won,loser_tiebreaks_won,match_id,match_stats_url_suffix
1986-401,3,Philadelphia,philadelphia,/en/scores/archive/philadelphia/401/1986/results,1986.01.27,1986,01,27,1986.02.02,1986,02,02,465000,1986,Round of 32,5,4,(4),FRA,Yannick Noah,yannick-noah,n022,,CHI,Ricardo Acuna,ricardo-acuna,a002,63 62 ,2,0,12,5,0,0,1986-401-n022-a002,
1986-401,3,Philadelphia,philadelphia,/en/scores/archive/philadelphia/401/1986/results,1986.01.27,1986,01,27,1986.02.02,1986,02,02,465000,1986,Round of 32,5,5,(5),SWE,Anders Jarryd,anders-jarryd,j006,,USA,Matt Anger,matt-anger,a025,62 63 ,2,0,12,5,0,0,1986-401-j006-a025,
1986-401,3,Philadelphia,philadelphia,/en/scores/archive/philadelphia/401/1986/results,1986.01.27,1986,01,27,1986.02.02,1986,02,02,465000,1986,Round of 32,5,6,(6),USA,Kevin Curren,kevin-curren,c057,,USA,Tim Wilkison,tim-wilkison,w019,75 62 ,2,0,13,7,0,0,1986-401-c057-w019,
1986-401,3,Philadelphia,philadelphia,/en/scores/archive/philadelphia/401/1986/results,1986.01.27,1986,01,27,1986.02.02,1986,02,02,465000,1986,Round of 32,5,7,(7),USA,Tim Mayotte,tim-mayotte,m041,(Q),USA,Andy Kohlberg,andy-kohlberg,k017,62 64 ,2,0,12,6,0,0,1986-401-m041-k017,
1986-401,3,Philadelphia,philadelphia,/en/scores/archive/philadelphia/401/1986/results,1986.01.27,1986,01,27,1986.02.02,1986,02,02,465000,1986,Round of 32,5,8,(8),USA,Paul Annacone,paul-annacone,a027,(WC),USA,Dan Goldie,dan-goldie,g022,63 64 ,2,0,12,7,0,0,1986-401-a027-g022,
1986-401,3,Philadelphia,philadelphia,/en/scores/archive/philadelphia/401/1986/results,1986.01.27,1986,01,27,1986.02.02,1986,02,02,465000,1986,Round of 32,5,9,(9),ECU,Andres Gomez,andres-gomez,g023,(Q),USA,Vincent Van Patten,vincent-van-patten,v010,67 76 62 ,2,1,19,15,0,0,1986-401-g023-v010,
1986-401,3,Philadelphia,philadelphia,/en/scores/archive/philadelphia/401/1986/results,1986.01.27,1986,01,27,1986.02.02,1986,02,02,465000,1986,Round of 32,5,10,,USA,Marty Davis,marty-davis,d005,(10),USA,Scott Davis,scott-davis,d004,61 76 ,2,0,13,7,0,0,1986-401-d005-d004,
1986-401,3,Philadelphia,philadelphia,/en/scores/archive/philadelphia/401/1986/results,1986.01.27,1986,01,27,1986.02.02,1986,02,02,465000,1986,Round of 32,5,11,(11),USA,Brad Gilbert,brad-gilbert,g016,,POL,Wojtek Fibak,wojtek-fibak,f020,63 61 ,2,0,12,4,0,0,1986-401-g016-f020,
1986-401,3,Philadelphia,philadelphia,/en/scores/archive/philadelphia/401/1986/results,1986.01.27,1986,01,27,1986.02.02,1986,02,02,465000,1986,Round of 32,5,12,(12),CZE,Tomas Smid,tomas-smid,s058,,HAI,Ronald Agenor,ronald-agenor,a006,64 36 63 ,2,1,15,13,0,0,1986-401-s058-a006,
1986-401,3,Philadelphia,philadelphia,/en/scores/archive/philadelphia/401/1986/results,1986.01.27,1986,01,27,1986.02.02,1986,02,02,465000,1986,Round of 32,5,13,(WC),USA,Ben Testerman,ben-testerman,t014,(13),FRA,Thierry Tulasne,thierry-tulasne,t032,67 76 63 ,2,1,19,16,0,0,1986-401-t014-t032,
1986-401,3,Philadelphia,philadelphia,/en/scores/archive/philadelphia/401/1986/results,1986.01.27,1986,01,27,1986.02.02,1986,02,02,465000,1986,Round of 32,5,14,,SUI,Jakob Hlasek,jakob-hlasek,h025,(14),SWE,Jan Gunnarsson,jan-gunnarsson,g053,62 64 ,2,0,12,6,0,0,1986-401-h025-g053,
1986-401,3,Philadelphia,philadelphia,/en/scores/archive/philadelphia/401/1986/results,1986.01.27,1986,01,27,1986.02.02,1986,02,02,465000,1986,Round of 32,5,15,,SRB,Slobodan Zivojinovic,slobodan-zivojinovic,z006,(15),USA,David Pate,david-pate,p012,64 67 63 ,2,1,18,14,0,0,1986-401-z006-p012,
1986-401,3,Philadelphia,philadelphia,/en/scores/archive/philadelphia/401/1986/results,1986.01.27,1986,01,27,1986.02.02,1986,02,02,465000,1986,Round of 32,5,16,(16),USA,Greg Holmes,greg-holmes,h030,,BEL,Libor Pimek,libor-pimek,p032,62 64 ,2,0,12,6,0,0,1986-401-h030-p032,
1986-401,3,Philadelphia,philadelphia,/en/scores/archive/philadelphia/401/1986/results,1986.01.27,1986,01,27,1986.02.02,1986,02,02,465000,1986,Round of 64,6,1,(1),USA,Ivan Lendl,ivan-lendl,l018,,,Bye,,,,0,0,0,0,0,0,1986-401-l018-,
1986-401,3,Philadelphia,philadelphia,/en/scores/archive/philadelphia/401/1986/results,1986.01.27,1986,01,27,1986.02.02,1986,02,02,465000,1986,Round of 64,6,2,(2),USA,Jimmy Connors,jimmy-connors,c044,,,Bye,,,,0,0,0,0,0,0,1986-401-c044-,
1986-401,3,Philadelphia,philadelphia,/en/scores/archive/philadelphia/401/1986/results,1986.01.27,1986,01,27,1986.02.02,1986,02,02,465000,1986,Round of 64,6,3,(3),SWE,Stefan Edberg,stefan-edberg,e004,,,Bye,,,,0,0,0,0,0,0,1986-401-e004-,
1986-401,3,Philadelphia,philadelphia,/en/scores/archive/philadelphia/401/1986/results,1986.01.27,1986,01,27,1986.02.02,1986,02,02,465000,1986,Round of 64,6,4,(4),FRA,Yannick Noah,yannick-noah,n022,,,Bye,,,,0,0,0,0,0,0,1986-401-n022-,
1986-401,3,Philadelphia,philadelphia,/en/scores/archive/philadelphia/401/1986/results,1986.01.27,1986,01,27,1986.02.02,1986,02,02,465000,1986,Round of 64,6,5,(5),SWE,Anders Jarryd,anders-jarryd,j006,,,Bye,,,,0,0,0,0,0,0,1986-401-j006-,
1986-401,3,Philadelphia,philadelphia,/en/scores/archive/philadelphia/401/1986/results,1986.01.27,1986,01,27,1986.02.02,1986,02,02,465000,1986,Round of 64,6,6,(6),USA,Kevin Curren,kevin-curren,c057,,,Bye,,,,0,0,0,0,0,0,1986-401-c057-,
1986-401,3,Philadelphia,philadelphia,/en/scores/archive/philadelphia/401/1986/results,1986.01.27,1986,01,27,1986.02.02,1986,02,02,465000,1986,Round of 64,6,7,(7),USA,Tim Mayotte,tim-mayotte,m041,,,Bye,,,,0,0,0,0,0,0,1986-401-m041-,
1986-401,3,Philadelphia,philadelphia,/en/scores/archive/philadelphia/401/1986/results,1986.01.27,1986,01,27,1986.02.02,1986,02,02,465000,1986,Round of 64,6,8,(8),USA,Paul Annacone,paul-annacone,a027,,,Bye,,,,0,0,0,0,0,0,1986-401-a027-,
1986-401,3,Philadelphia,philadelphia,/en/scores/archive/philadelphia/401/1986/results,1986.01.27,1986,01,27,1986.02.02,1986,02,02,465000,1986,Round of 64,6,9,(9),ECU,Andres Gomez,andres-gomez,g023,,,Bye,,,,0,0,0,0,0,0,1986-401-g023-,
1986-401,3,Philadelphia,philadelphia,/en/scores/archive/philadelphia/401/1986/results,1986.01.27,1986,01,27,1986.02.02,1986,02,02,465000,1986,Round of 64,6,10,(10),USA,Scott Davis,scott-davis,d004,,,Bye,,,,0,0,0,0,0,0,1986-401-d004-,
1986-401,3,Philadelphia,philadelphia,/en/scores/archive/philadelphia/401/1986/results,1986.01.27,1986,01,27,1986.02.02,1986,02,02,465000,1986,Round of 64,6,11,(11),USA,Brad Gilbert,brad-gilbert,g016,,,Bye,,,,0,0,0,0,0,0,1986-401-g016-,
1986-401,3,Philadelphia,philadelphia,/en/scores/archive/philadelphia/401/1986/results,1986.01.27,1986,01,27,1986.02.02,1986,02,02,465000,1986,Round of 64,6,12,(12),CZE,Tomas Smid,tomas-smid,s058,,,Bye,,,,0,0,0,0,0,0,1986-401-s058-,
1986-401,3,Philadelphia,philadelphia,/en/scores/archive/philadelphia/401/1986/results,1986.01.27,1986,01,27,1986.02.02,1986,02,02,465000,1986,Round of 64,6,13,(13),FRA,Thierry Tulasne,thierry-tulasne,t032,,,Bye,,,,0,0,0,0,0,0,1986-401-t032-,
1986-401,3,Philadelphia,philadelphia,/en/scores/archive/philadelphia/401/1986/results,1986.01.27,1986,01,27,1986.02.02,1986,02,02,465000,1986,Round of 64,6,14,(14),SWE,Jan Gunnarsson,jan-gunnarsson,g053,,,Bye,,,,0,0,0,0,0,0,1986-401-g053-,
1986-401,3,Philadelphia,philadelphia,/en/scores/archive/philadelphia/401/1986/results,1986.01.27,1986,01,27,1986.02.02,1986,02,02,465000,1986,Round of 64,6,15,(15),USA,David Pate,david-pate,p012,,,Bye,,,,0,0,0,0,0,0,1986-401-p012-,
1986-401,3,Philadelphia,philadelphia,/en/scores/archive/philadelphia/401/1986/results,1986.01.27,1986,01,27,1986.02.02,1986,02,02,465000,1986,Round of 64,6,16,(16),USA,Greg Holmes,greg-holmes,h030,,,Bye,,,,0,0,0,0,0,0,1986-401-h030-,
1986-401,3,Philadelphia,philadelphia,/en/scores/archive/philadelphia/401/1986/results,1986.01.27,1986,01,27,1986.02.02,1986,02,02,465000,1986,Round of 64,6,17,,CHI,Ricardo Acuna,ricardo-acuna,a002,,USA,Bud Schultz,bud-schultz,s018,64 62 ,2,0,12,6,0,0,1986-401-a002-s018,
1986-401,3,Philadelphia,philadelphia,/en/scores/archive/philadelphia/401/1986/results,1986.01.27,1986,01,27,1986.02.02,1986,02,02,465000,1986,Round of 64,6,18,,HAI,Ronald Agenor,ronald-agenor,a006,(Q),CAN,Glenn Michibata,glenn-michibata,m064,75 63 ,2,0,13,8,0,0,1986-401-a006-m064,
